bookID,Book-Title,authors,isbn,isbn13,language_code,publisher,
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,439785960,9.78044E+12,eng,Scholastic Inc.,
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,439358078,9.78044E+12,eng,Scholastic Inc.,
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,439554896,9.78044E+12,eng,Scholastic,
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,043965548X,9.78044E+12,eng,Scholastic Inc.,
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,439682584,9.78044E+12,eng,Scholastic,
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,976540606,9.78098E+12,en-US,Nimble Books,
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,439827604,9.78044E+12,eng,Scholastic,
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,517226952,9.78052E+12,eng,Gramercy Books,
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,345453743,9.78035E+12,eng,Del Rey Books,
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,1400052920,9.7814E+12,eng,Crown,
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,739322206,9.78074E+12,eng,Random House Audio,
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,517149257,9.78052E+12,eng,Wings Books,
21,A Short History of Nearly Everything,Bill Bryson,076790818X,9.78077E+12,eng,Broadway Books,
22,Bill Bryson's African Diary,Bill Bryson,767915062,9.78077E+12,eng,Broadway Books,
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,767910435,9.78077E+12,eng,Broadway Books,
24,In a Sunburned Country,Bill Bryson,767903862,9.78077E+12,eng,Broadway Books,
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,076790382X,9.78077E+12,eng,Broadway Books,
26,The Lost Continent: Travels in Small Town America,Bill Bryson,60920084,9.78006E+12,eng,William Morrow Paperbacks,
27,Neither Here nor There: Travels in Europe,Bill Bryson,380713802,9.78038E+12,eng,William Morrow Paperbacks,
28,Notes from a Small Island,Bill Bryson,380727501,9.78038E+12,eng,William Morrow Paperbacks,
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,380715430,9.78038E+12,eng,William Morrow Paperbacks,
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,345538374,9.78035E+12,eng,Ballantine Books,
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,618517650,9.78062E+12,eng,Houghton Mifflin Harcourt,
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,618346252,9.78062E+12,eng,Houghton Mifflin Harcourt,
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,618260587,9.78062E+12,en-US,Houghton Mifflin Harcourt,
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,618391002,9.78062E+12,eng,Houghton Mifflin Harcourt,
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,618510826,9.78062E+12,eng,Houghton Mifflin Harcourt,
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,097669400X,9.78098E+12,eng,Pragmatic Bookshelf,
50,Hatchet (Brian's Saga  #1),Gary Paulsen,689840926,9.78069E+12,eng,Atheneum Books for Young Readers: Richard Jackson Books,
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,1557344493,9.78156E+12,eng,Teacher Created Resources,
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,385326505,9.78039E+12,eng,Delacorte Press,
54,Molly Hatchet - 5 of the Best,Molly Hatchet,1575606240,9.78158E+12,eng,Cherry Lane Music Company,
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,1595580271,9.7816E+12,en-US,The New Press,
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,1595962808,9.7816E+12,eng,Changeling Press,
58,Changeling (Changeling  #1),Delia Sherman,670059676,9.78067E+12,eng,Viking Juvenile,
59,The Changeling Sea,Patricia A. McKillip,141312629,9.78014E+12,eng,Firebird,
61,The Changeling,Zilpha Keatley Snyder,595321801,9.7806E+12,eng,iUniverse,
63,The Changeling,Kate Horsley,1590301943,9.78159E+12,eng,Shambhala,
66,The Changeling (Daughters of England  #15),Philippa Carr,449146979,9.78045E+12,eng,Ivy Books,
67,The Known World,Edward P. Jones,61159174,9.78006E+12,eng,Amistad,
68,The Known World,Edward P. Jones/Kevin R. Free,006076273X,9.78006E+12,en-US,HarperAudio,
69,The Known World,Edward P. Jones,60749911,9.78006E+12,eng,Harper,
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,273704745,9.78027E+12,eng,FT Press,
72,Artesia: Adventures in the Known World,Mark Smylie,1932386106,9.78193E+12,eng,Archaia,
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,374517193,9.78037E+12,eng,Farrar  Straus and Giroux,
75,Uncommon Carriers,John McPhee,374280398,9.78037E+12,en-US,Farrar Straus Giroux,
76,Heirs of General Practice,John McPhee,374519749,9.78037E+12,eng,Farrar  Straus and Giroux,
77,The Control of Nature,John McPhee,374522596,9.78037E+12,en-US,Farrar  Straus and Giroux,
78,Annals of the Former World,John McPhee,374518734,9.78037E+12,eng,Farrar  Straus and Giroux,
79,Coming Into the Country,John McPhee,374522871,9.78037E+12,eng,Farrar  Straus and Giroux,
80,La Place de la Concorde Suisse,John McPhee,374519323,9.78037E+12,fre,Farrar  Straus and Giroux,
81,Giving Good Weight,John McPhee,374516006,9.78037E+12,eng,Farrar  Straus and Giroux,
83,Rising from the Plains,John McPhee,374520658,9.78037E+12,eng,Farrar  Straus and Giroux,
85,The Heidi Chronicles,Wendy Wasserstein,822205106,9.78082E+12,eng,Dramatists Play Service,
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,679734996,9.78068E+12,eng,Vintage,
