UserID,Title,Ratings
1,"Hey, Soul Sister",83
1,Love The Way You Lie,82
1,TiK ToK,80
1,Bad Romance,79
1,Just the Way You Are,78
1,Baby,77
1,Dynamite,77
1,Secrets,77
1,Empire State of Mind (Part II) Broken Down,76
1,Only Girl (In The World),73
1,Club Can't Handle Me (feat. David Guetta),73
1,Marry You,73
1,Cooler Than Me - Single Mix,73
1,Telephone,73
1,Like A G6,72
1,OMG (feat. will.i.am),72
1,Eenie Meenie,71
1,The Time (Dirty Bit),70
1,Alejandro,69
1,Your Love Is My Drug,69
1,Meet Me Halfway,68
1,Whataya Want from Me,66
1,Take It Off,66
1,Misery,65
1,All The Right Moves,65
2,Animal,65
2,Naturally,64
2,I Like It,63
2,Teenage Dream,63
2,California Gurls,62
2,Three,62
2,My First Kiss - feat. Ke$ha,62
2,Blah Blah Blah (feat. 3OH!3),62
2,Imma Be,62
2,Try Sleeping with a Broken Heart,62
2,Sexy Bitch (feat. Akon),61
2,Bound To You - Burlesque Original Motion Picture Soundtrack,61
2,If I Had You,59
2,Rock That Body,59
2,Dog Days Are Over,58
2,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,58
2,Doesn't Mean Anything,57
2,Hard,57
2,Loca,56
2,You Lost Me,56
2,Not Myself Tonight,55
2,Written in the Stars (feat. Eric Turner),52
2,DJ Got Us Fallin' In Love (feat. Pitbull),52
2,Castle Walls (feat. Christina Aguilera),49
2,Break Your Heart,33
3,Hello,0
3,A Thousand Years,81
3,Someone Like You,80
3,Give Me Everything,79
3,Just the Way You Are,78
3,Rolling in the Deep,76
3,Run the World (Girls),76
3,Moves Like Jagger - Studio Recording From The Voice Performance,76
3,Love On Top,76
3,Grenade,75
3,Tonight Tonight,75
3,What the Hell,74
3,Born This Way,73
3,Monster,73
3,Marry You,73
3,Best Thing I Never Had,73
3,Party Rock Anthem,72
3,We R Who We R,72
3,Price Tag,72
3,Good Life,72
3,Just CanæŠ° Get Enough,71
3,On The Floor,69
3,What's My Name?,69
3,Yeah 3x,69
3,Without You (feat. Usher),68
4,Sexy And I Know It,67
4,The Edge Of Glory,67
4,E.T.,66
4,Till the World Ends,65
4,I Wanna Go,64
4,Blow,64
4,You And I,64
4,Judas,63
4,Tonight (I'm Fuckin' You),63
4,Please Don't Go,63
4,We Found Love,61
4,Marry The Night,61
4,One plus one,60
4,Hold It Against Me,59
4,I'm Into You,59
4,Papi,58
4,Cheers (Drink To That),58
4,S&M Remix,54
4,Written in the Stars (feat. Eric Turner),52
4,Jar of Hearts,50
4,Castle Walls (feat. Christina Aguilera),49
4,Turning Page,46
4,Super Bass,38
4,Raise Your Glass,38
4,Invading My Mind,31
5,Moment 4 Life - Album Version (Edited),28
5,Last Friday Night (T.G.I.F.),27
5,Firework,25
5,Muny - Album Version (Edited),7
5,Titanium (feat. Sia),80
5,Locked Out of Heaven,79
5,Paradise,79
5,Payphone,79
5,What Makes You Beautiful,78
5,I Knew You Were Trouble.,77
5,Call Me Maybe,76
5,Love You Like A Love Song,76
5,Set Fire to the Rain,76
5,We Are Never Ever Getting Back Together,75
5,Stronger (What Doesn't Kill You),74
5,Try,74
5,Starships,73
5,One More Night,73
5,Good Time,73
5,Glad You Came,72
5,Beauty And A Beat,72
5,International Love,72
5,Some Nights,72
5,Boyfriend,71
5,Part Of Me,71
6,Domino,69
6,Where Have You Been,68
6,Wide Awake,68
6,The One That Got Away,67
6,Dance Again,66
6,Turn Up the Music,65
6,Lights - Single Version,65
6,We Are Young (feat. Janelle Moné†—),63
6,Diamonds,61
6,Don't Stop the Party (feat. TJR),59
6,You Da One,57
6,Stereo Hearts (feat. Adam Levine),54
6,It Will Rain,38
6,Blow Me (One Last Kiss),0
6,Underneath the Tree,88
6,Wake Me Up,85
6,Story of My Life,81
6,Just Give Me a Reason (feat. Nate Ruess),81
6,Hall of Fame,80
6,Roar,78
6,We Can't Stop,78
6,Don't You Worry Child - Radio Edit,78
6,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,77
6,Wrecking Ball,77
6,Impossible,77
7,Blurred Lines,76
7,Heart Attack,76
7,We Are Never Ever Getting Back Together,75
7,Die Young,75
7,Clarity,75
7,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,74
7,Under Control,74
7,Everybody Talks,74
7,"Hold On, We're Going Home",73
7,Best Song Ever,73
7,Kiss You,73
7,Sweet Nothing (feat. Florence Welch),72
7,Lose Yourself to Dance,72
7,Work Bitch,71
7,Brave,71
7,Can't Hold Us (feat. Ray Dalton),70
7,Feel This Moment (feat. Christina Aguilera),70
7,Beneath Your Beautiful,70
7,Let Me Love You (Until You Learn To Love Yourself),70
7,Thrift Shop (feat. Wanz),69
7,If I Lose Myself - Alesso vs OneRepublic,69
7,The Way,68
7,Suit & Tie,68
7,ThatPOWER,68
7,I Love It (feat. Charli XCX),67
8,Play Hard (feat. Ne-Yo & Akon) - New Edit,67
8,Daylight,66
8,Love Somebody,65
8,A Little Party Never Killed Nobody (All We Got),65
8,Move,63
8,Walks Like Rihanna,62
8,Rock N Roll,61
8,Heartbreaker,61
8,Mirrors - Radio Edit,60
8,Next To Me,60
8,Made In The USA,60
8,Clown,60
8,Girl On Fire (feat. Nicki Minaj) - Inferno Version,59
8,TKO,58
8,Come & Get It,57
8,Live It Up,57
8,We Own The Night,56
8,Atlas - From æŸhe Hunger Games: Catching Fire?Soundtrack,55
8,What About Love,54
8,Take Back the Night,54
8,Applause,52
8,Anything Could Happen,52
8,Finally Found You,52
8,Pom Poms,52
8,Beautiful,51
9,How Ya Doin'? (feat. Missy Elliott),50
9,Crazy Kids (feat. will.i.am),46
9,"Ooh La La (from ""The Smurfs 2"")",45
9,People Like Us,45
9,Overdose,43
9,Right Now - Dyro Radio Edit,42
9,Give It 2 U,41
9,Foolish Games,36
9,Outta Nowhere (feat. Danny Mercer),35
9,Freak,28
9,All of Me,86
9,Stay With Me,85
9,Summer,80
9,"Happy - From ""Despicable Me 2""",79
9,Rude,79
9,Shake It Off,78
9,Dark Horse,78
9,Hey Brother,78
9,Maps,78
9,Treasure,77
9,Let Her Go,77
9,Problem,75
9,Pompeii,73
9,Team,73
9,Love Me Again,73
10,Latch,72
10,Adore You,72
10,Love Never Felt So Good,71
10,Burn,71
10,She Looks So Perfect,71
10,Fancy,70
10,Talk Dirty (feat. 2 Chainz),68
10,Gorilla,68
10,human,68
10,Young Girls,67
10,Wiggle (feat. Snoop Dogg),67
10,Love Runs Out,66
10,This Is How We Do,66
10,Mmm Yeah (feat. Pitbull),65
10,A Little Party Never Killed Nobody (All We Got),65
10,#SELFIE,65
10,Partition,65
10,Birthday,65
10,G.U.Y.,65
10,Stay The Night - Featuring Hayley Williams Of Paramore,64
10,"Let It Go - From ""Frozen / Single Version",63
10,Wings,62
10,Can't Remember to Forget You (feat. Rihanna),62
10,Shot Me Down (feat. Skylar Grey) - Radio Edit,61
10,Say Something,61
11,A Sky Full of Stars,60
11,Come Get It Bae,59
11,Chandelier,56
11,XO,56
11,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],56
11,Not About Angels,56
11,Drunk in Love,52
11,Anaconda,50
11,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verré‹žer,50
11,La La La (Brasil 2014) (feat. Carlinhos Brown),50
11,Tee Shirt - Soundtrack Version,49
11,Words as Weapons,44
11,You're Mine (Eternal),38
11,Sheezus,37
11,Cannonball,37
11,It's On Again - Main Soundtrack,30
11,I Luh Ya Papi,28
11,Not a Bad Thing,0
11,Thinking out Loud,84
11,I'm Not The Only One,84
11,The Hills,84
11,Love Yourself,83
11,Uptown Funk,82
11,Take Me To Church,81
11,Sugar,81
12,Sorry,81
12,FourFiveSeconds,80
12,"Love Me Like You Do - From ""Fifty Shades Of Grey""",79
12,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",79
12,What Do You Mean?,79
12,Stitches,78
12,Want to Want Me,77
12,My House,77
12,Waves - Robin Schulz Radio Edit,77
12,Night Changes,77
12,How Deep Is Your Love,77
12,Never Forget You,77
12,Love Me Harder,76
12,Animals,76
12,Blame,76
12,Worth It,75
12,Break Free,75
12,Don't,74
12,Elastic Heart,73
12,Rather Be (feat. Jess Glynne),73
12,Hello,73
12,Dear Future Husband,72
12,Four thousand and so on,72
12,The Heart Wants What It Wants,72
12,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",72
13,Genie In a Bottle,72
13,Company,72
13,Sing,71
13,Jealous - Remix,70
